title,year,director,stars
American Desi,2001,Piyush Dinker Pandya,"Deep Katdare, Ronobir Lahiri, Purva Bedi, Rizwan Manji"
Venus and Mars,2001,Harry Mastrogeorge,"Lynn Redgrave, Daniela Amavia, Ryan Hurst, Fay Masterson"
Never Again,2001,Eric Schaeffer,"Jill Clayburgh, Jeffrey Tambor, Caroline Aaron, Bill Duke"
Get Over It,2001,Tommy O'Haver,"Kirsten Dunst, Melissa Sagemiller, Sisqó, Ben Foster"
Amy's Orgasm,2001,Julie Davis,"Julie Davis, Caroline Aaron, Mitchell Whitfield, Nick Chinlund"
Kill Me Later,2001,Dana Lustig,"""ONeal Compton"", Max Beesley, Selma Blair, Lochlyn Munro"
The Trumpet of the Swan,2001,Terry L. Noss,"Reese Witherspoon, Seth Green, Jason Alexander, Mary Steenburgen"
Lansdown,2001,Tom Zuber,"D.W. Warren, Jennifer Carlson, Paul Shields, Chris Baran"
The Brothers,2001,Gary Hardwick,"Bill Bellamy, Shemar Moore, D.L. Hughley, Morris Chestnut"
The Fluffer,2001,Richard Glatzer,"Michael Cunio, Scott Gurney, Taylor Negron, Roxanne Day"
Blow Dry,2001,Paddy Breathnach,"Natasha Richardson, Alan Rickman, Rachel Griffiths, Rachael Leigh Cook"
The Château,2001,Jesse Peretz,"Benjamin Tessier, Romany Malco, Paul Rudd, Sylvie Testud"
Manic,2001,Jordan Melamed,"Zooey Deschanel, Michael Bacall, Joseph Gordon-Levitt, Don Cheadle"
Tape,2001,Richard Linklater,"Robert Sean Leonard, Uma Thurman, Ethan Hawke"
The Flip Side,2001,Rod Pulido,"Verwin Gatpandan, Dave Brown, Manong Peping Baclig, José Sáenz"
Home Movie,2001,Chris Smith,"Ben Skora, Ed Peden, Linda Beech, Diana Peden"
Mutant Aliens,2001,Bill Plympton,"Matthew Brown, Dan McComas, Francine Lobis, George Casden"
Sugar & Spice,2001,Francine McDougall,"Marla Sokoloff, Melissa George, Mena Suvari, Marley Shelton"
Wendigo,2001,Larry Fessenden,"John Speredakos, Jake Weber, Patricia Clarkson, Erik Per Sullivan"
Waking Life,2001,Richard Linklater,"Lorelei Linklater, Trevor Jack Brooks, Wiley Wiggins, Ethan Hawke"
Madison,2001,William Bindley,"Jim Caviezel, Mary McCormack, Jake Lloyd, Bruce Dern"
Virgil Bliss,2001,Joe Maggio,"Anthony Gorman, Kirsten Russell, Greg Amici, Clint Jordan"
"Scotland, Pa.",2001,Billy Morrissette,"James Le Gros, Maura Tierney, Christopher Walken, Kevin Corrigan"
Margarita Happy Hour,2001,Ilya Chaiken,"Eleanor Hutchins, Holly Ramos, Larry Fessenden, Barbara Sicuranza"
Enigma,2001,Michael Apted,"Kate Winslet, Saffron Burrows, Jeremy Northam, Dougray Scott"
The Deep End,2001,Scott McGehee,"Goran Visnjic, Peter Donat, Tilda Swinton, Jonathan Tucker"
Lost and Delirious,2001,Léa Pool,"Jessica Paré, Mischa Barton, Piper Perabo, Jackie Burroughs"
The American Astronaut,2001,Cory McAbee,"Gregory Russell Cook, Annie Golden, Rocco Sisto, Cory McAbee"
L.I.E.,2001,Michael Cuesta,"Paul Dano, Billy Kay, Brian Cox, Bruce Altman"
Brooklyn Babylon,2001,Marc Levin,"Karen Starc, Tariq Trotter, David Vadim, Bonz Malone"
Chain Camera,2001,Kirby Dick,"Silva Arzunyan, Ethan Adagio, Leo Diaz, Stephanie De La Garza"
Super Troopers,2001,Jay Chandrasekhar,"André Vippolis, Jay Chandrasekhar, Kevin Heffernan, Joey Kern"
In the Bedroom,2001,Todd Field,"Tom Wilkinson, Nick Stahl, Marisa Tomei, Sissy Spacek"
The Believer,2001,Henry Bean,"Ryan Gosling, Garret Dillahunt, Summer Phoenix, Peter Meadows"
My First Mister,2001,Christine Lahti,"Albert Brooks, Rutanya Alda, Leelee Sobieski, Natasha Braisewell"
The Invisible Circus,2001,Adam Brooks,"Cameron Diaz, Christopher Eccleston, Blythe Danner, Jordana Brewster"
The Body,2001,Jonas McCord,"Derek Jacobi, Olivia Williams, John Shrapnel, Antonio Banderas"
The Gift,2000,Sam Raimi,"Keanu Reeves, Katie Holmes, Giovanni Ribisi, Cate Blanchett"
Thirteen Days,2000,Roger Donaldson,"Bruce Greenwood, Kevin Costner, Drake Cook, Shawn Driscoll"
Dungeons & Dragons,2000,Courtney Solomon,"Justin Whalin, Bruce Payne, Zoe McLellan, Jeremy Irons"
Traffic,2000,Steven Soderbergh,"Michael Douglas, Benicio Del Toro, Catherine Zeta-Jones, Jacob Vargas"
A Good Baby,2000,Katherine Dieckmann,"Henry Thomas, Cara Seymour, David Strathairn, Danny Nelson"
Murderous Maids,2000,Jean-Pierre Denis,"Dominique Labourier, Julie-Marie Parmentier, Isabelle Renauld, Sylvie Testud"
Looking for an Echo,2000,Martin Davidson,"Joe Grifasi, Tom Mason, Armand Assante, Diane Venora"
Enemies of Laughter,2000,Joey Travolta,"Judge Reinhold, Rosalind Chao, Peter Falk, David Paymer"
Boesman and Lena,2000,John Berry,"Angela Bassett, Danny Glover, Graham Weir, Willie Jonah"
Ed Gein,2000,Chuck Parello,"Carrie Snodgress, Steve Railsback, Carol Mansell, Sally Champlin"
The Amati Girls,2000,Anne De Salvo,"Mercedes Ruehl, Sean Young, Dinah Manoff, Cloris Leachman"
Left Behind: The Movie,2000,Vic Sarin,"Kirk Cameron, Janaya Stephens, Clarence Gilyard Jr., Brad Johnson"
Secret Society,2000,Imogen Kimmel,"Annette Badland, Charlotte Brittain, James Wooton, Lee Ross"
The Sculptress,2000,Ian Merrick,"Katie Wright, Emmanuelle Vaugier, Jeff Fahey, Patrick Bauchau"
Book of Shadows: Blair Witch 2,2000,Joe Berlinger,"Stephen Barker Turner, Kurt Loder, Jeffrey Donovan, Erica Leerhsen"
Once in the Life,2000,Laurence Fishburne,"Laurence Fishburne, Gregory Hines, Michael Paul Chan, Eamonn Walker"
Lost Souls,2000,Janusz Kaminski,"Philip Baker Hall, Ben Chaplin, Winona Ryder, Sarah Wynter"
King of the Jungle,2000,Seth Zvi Rosenfeld,"John Leguizamo, Julie Carmen, Cliff Gorman, Rosie Perez"
Citizen Toxie: The Toxic Avenger IV,2000,Lloyd Kaufman,"David Mattey, Heidi Sjursen, Clyde Lewis, Paul Kyrmse"
Bootmen,2000,Dein Perry,"Lisa Perry, Sam Worthington, Vaughan Sheffield, Christian Patterson"
Mysterious Object at Noon,2000,Apichatpong Weerasethakul,"Djuangjai Hirunsri, Kongkiat Khomsiri, Saisiri Xoomsai"
The Great Dance: A Hunter's Story,2000,Craig Foster,"Xlhoase Xlhokhne, Karoha Langwane, !Nqate Xqamxebe"
Prince of Central Park,2000,John Leekley,"Cathy Moriarty, Danny Aiello, Frankie Nasso, Kathleen Turner"
Bamboozled,2000,Spike Lee,"Michael Rapaport, Damon Wayans, Savion Glover, Jada Pinkett Smith"
The Specials,2000,Craig Mazin,"Rob Lowe, Jordan Ladd, Thomas Haden Church, Paget Brewster"
How to Kill Your Neighbor's Dog,2000,Michael Kalesniko,"Lynn Redgrave, Robin Wright, Kenneth Branagh, Suzi Hofrichter"
The Price of Air,2000,Josh Evans,"Michael Madsen, Badja Djola, Michelle Phillips, Dick Van Patten"
Pandaemonium,2000,Julien Temple,"Samantha Morton, Linus Roache, John Hannah, Emily Woof"
The Dish,2000,Rob Sitch,"Christopher-Robin Street, Billy Mitchell, Sam Neill, Roz Hammond"
Dancing at the Blue Iguana,2000,Michael Radford,"W. Earl Brown, Daryl Hannah, Kristin Bauer van Straten, Charlotte Ayanna"
The Monkey's Mask,2000,Samantha Lang,"Abbie Cornish, Brendan Cowell, Susie Porter, Kelly McGillis"
Sexy Beast,2000,Jonathan Glazer,"Ben Kingsley, Ian McShane, Ray Winstone, Amanda Redman"
Tigerland,2000,Joel Schumacher,"Clifton Collins Jr., Tom Guiry, Colin Farrell, Matthew Davis"
Vulgar,2000,Bryan Johnson,"""Brian OHalloran"", Bryan Johnson, Jerry Lewkowitz, Ethan Suplee"
Beautiful,2000,Sally Field,"Minnie Driver, Kathleen Turner, Joey Lauren Adams, Hallie Eisenberg"
The Contender,2000,Rod Lurie,"Joan Allen, Gary Oldman, Jeff Bridges, Christian Slater"
The Girl,2000,Sande Zeig,"Agathe de La Boulaye, Sandra Nkake, Cyril Lecomte, Claire Keim"
The Weight of Water,2000,Kathryn Bigelow,"Catherine McCormack, Sarah Polley, Sean Penn, Elizabeth Hurley"
The Way of the Gun,2000,Christopher McQuarrie,"Ryan Phillippe, Benicio Del Toro, Juliette Lewis, Taye Diggs"
A Rumor of Angels,2000,Peter O'Fallon,"Catherine McCormack, Ray Liotta, Vanessa Redgrave, Trevor Morgan"
The Watcher,2000,Joe Charbanic,"Keanu Reeves, Ernie Hudson, Marisa Tomei, James Spader"
Pollock,2000,Ed Harris,"Ed Harris, Molly Regan, Robert Knott, Marcia Gay Harden"
Memento,2000,Christopher Nolan,"Mark Boone Junior, Guy Pearce, Carrie-Anne Moss, Joe Pantoliano"
Before Night Falls,2000,Julian Schnabel,"Giovani Florido, Johnny Depp, Olatz López Garmendia, Javier Bardem"
The Day I Became a Woman,2000,Marzieh Makhmalbaf,"Ameneh Passand, Fatemeh Cherag Akhar, Hassan Nebhan, Shahr Banou Sisizadeh"
Brother,2000,Takeshi Kitano,"Takeshi Kitano, Omar Epps, Masaya Katô, Claude Maki"
The Man Who Cried,2000,Sally Potter,"Oleg Yankovskiy, Christina Ricci, Cate Blanchett, Claudia Lander-Duke"
Quills,2000,Philip Kaufman,"Kate Winslet, Geoffrey Rush, Joaquin Phoenix, Michael Caine"
Dr. T & the Women,2000,Robert Altman,"Farrah Fawcett, Richard Gere, Helen Hunt, Laura Dern"
Whipped,2000,Peter M. Cohen,"Amanda Peet, Zorie Barber, Brian Van Holt, Jonathan Abrahams"
Maelstrom,2000,Denis Villeneuve,"Stephanie Morgenstern, Pierre Lebeau, Marie-Josée Croze, Jean-Nicolas Verreault"
State and Main,2000,David Mamet,"Rebecca Pidgeon, Michael Higgins, William H. Macy, Philip Seymour Hoffman"
Sade,2000,Benoît Jacquot,"Grégoire Colin, Marianne Denicourt, Jeanne Balibar, Daniel Auteuil"
Last Resort,2000,Pawel Pawlikowski,"Paddy Considine, Artyom Strelnikov, Steve Perry, Dina Korzun"
Bring It On,2000,Peyton Reed,"Kirsten Dunst, Eliza Dushku, Gabrielle Union, Jesse Bradford"
The Luzhin Defence,2000,Marleen Gorris,"John Turturro, Stuart Wilson, Geraldine James, Emily Watson"
The Original Kings of Comedy,2000,Spike Lee,"Bernie Mac, Steve Harvey, D.L. Hughley, Cedric the Entertainer"
The Low Down,2000,Jamie Thraves,"Kate Ashfield, Aidan Gillen, Dean Lennox Kelly, Tobias Menzies"
The House of Mirth,2000,Terence Davies,"Eleanor Bron, Terry Kinney, Gillian Anderson, Dan Aykroyd"
Ginger Snaps,2000,John Fawcett,"Mimi Rogers, Katharine Isabelle, Kris Lemche, Emily Perkins"
Vampire Hunter D: Bloodlust,2000,Yoshiaki Kawajiri,"John Rafter Lee, Andrew Philpot, Wendee Lee, Pamela Adlon"
Drift,2000,Quentin Lee,"Jonathon Roessler, Desi del Valle, Andy Steinlen, Reggie Lee"
Loser,2000,Amy Heckerling,"Jason Biggs, Mena Suvari, Thomas Sadoski, Zak Orth"
The In Crowd,2000,Mary Lambert,"Matthew Settle, Susan Ward, Lori Heuring, Nathan Bexton"
Thomas and the Magic Railroad,2000,Britt Allcroft,"Russell Means, Peter Fonda, Alec Baldwin, Cody McMains"
Mad About Mambo,2000,John Forte,"Maclean Stewart, William Ash, Tim Loane, Russell Smith"
Tattoo Bar,2000,Jo Sol,"Alexis Valdés, Paulina Gálvez, Miguel Molina, Mercedes Ortega"
Scary Movie,2000,Keenen Ivory Wayans,"Carmen Electra, Jon Abrahams, Anna Faris, Marlon Wayans"
The Gleaners & I,2000,Agnès Varda,"Bodan Litnanski, Jean La Planche, Agnès Varda, François Wertheimer"
Aberdeen,2000,Hans Petter Moland,"Lena Headey, Stellan Skarsgård, Charlotte Rampling, Jean Anderson"
Borstal Boy,2000,Peter Sheridan,"Shawn Hatosy, Danny Dyer, Ian McElhinney, Eamon Glancy"
Trixie,2000,Alan Rudolph,"Nick Nolte, Dermot Mulroney, Nathan Lane, Emily Watson"
Boricua's Bond,2000,Val Lik,"Frankie Negron, Ramses Ignacio, Jorge Gautier, Val Lik"
The Visit,2000,Jordan Walker-Pearlman,"Rae Dawn Chong, Obba Babatundé, Terrell Mitchell, Charmin Lee White"
Maybe Baby,2000,Ben Elton,"Adrian Lester, Matthew Macfadyen, Joely Richardson, Hugh Laurie"
101 Reykjavík,2000,Baltasar Kormákur,"Hilmir Snær Guðnason, Hanna María Karlsdóttir, Victoria Abril, Þrúður Vilhjálmsdóttir"
Scarlet Diva,2000,Asia Argento,"Gianluca Arcopinto, Jean Shepard, Asia Argento, Herbert Fritsch"
Billy Elliot,2000,Stephen Daldry,"Julie Walters, Jamie Bell, Jamie Draven, Jean Heywood"
Small Time Crooks,2000,Woody Allen,"Hugh Grant, Woody Allen, Carolyn Saxon, Tracey Ullman"
Esther Kahn,2000,Arnaud Desplechin,"Ian Holm, Summer Phoenix, Akbar Kurtha, Fabrice Desplechin"
The Debut,2000,Gene Cajayon,"Jayson Schaal, Dante Basco, Brian Card, Eddie Garcia"
The Opportunists,2000,Myles Connell,"Anne Pitoniak, Christopher Walken, Peter McDonald, Kate Burton"
Stardom,2000,Denys Arcand,"Jessica Paré, Jessica Mackenzie, Macha Grenon, Victoria Snow"
Cecil B. Demented,2000,John Waters,"Adrian Grenier, Alicia Witt, Stephen Dorff, Melanie Griffith"
Dancer in the Dark,2000,Lars von Trier,"David Morse, Peter Stormare, Björk, Catherine Deneuve"
Fast Food Fast Women,2000,Amos Kollek,"Anna Thomson, Robert Modica, Louise Lasser, Jamie Harris"
Shadow of the Vampire,2000,E. Elias Merhige,"John Malkovich, Cary Elwes, Willem Dafoe, Udo Kier"
Amores Perros,2000,Alejandro G. Iñárritu,"Álvaro Guerrero, Gael García Bernal, Goya Toledo, Emilio Echevarría"
Lisa Picard Is Famous,2000,Griffin Dunne,"Griffin Dunne, Laura Kirk, Daniel London, Nat DeWolf"
Auggie Rose,2000,Matthew Tabak,"Timothy Olyphant, Nancy Travis, Jeff Goldblum, Anne Heche"
The Golden Bowl,2000,James Ivory,"Kate Beckinsale, James Fox, Jeremy Northam, Uma Thurman"
Requiem for a Dream,2000,Darren Aronofsky,"Marlon Wayans, Ellen Burstyn, Jared Leto, Jennifer Connelly"
With a Friend Like Harry...,2000,Dominik Moll,"Sergi López, Laurent Lucas, Sophie Guillemin, Mathilde Seigner"
The King Is Alive,2000,Kristian Levring,"Miles Anderson, David Bradley, Romane Bohringer, David Calder"
