title,year,metascore,mpaa_rating,runtime_min,genre,director,stars
Train Ride,2000,,R,93.0,Drama,Rel Dowdell,"Thomas Braxton Jr., Joe Clair, Rel Dowdell, Dakota Anderson"
The Redemption,2000,,,105.0,"Family, Drama",Carl Kress,"Ted Lange, Steve Withem, Angela Dawn Salinas, Jenilee Harrison"
Mute Life,2000,,,,Short,Nuno Tudela,
Lennon,2000,,,,"Drama, Music, Biography",,
Daddy Tell Me a Story...,2000,,,,Drama,Al Leong,"Samantha Cook, Rob Shields, Steve Coombes, Ho Chow"
Eat Me!,2000,,,,Comedy,Joe Talbott,"Kris Arnold, Waleed Zuaiter, Andy Rapoport, Jack Daniel"
Kitchener,2000,,,,,Rob Tregenza,Lars Rudolph
The Sticks,2000,,,,"Short, Thriller",Eric Dale,"Gord Shortt, Paul Huggett, Harry Speed, Alex Ross"
Flamingo Dreams,2000,,,,Drama,Lamar Card,"Terry Kiser, Richard Moll, Kevin Dean Williams, Dee Wallace"
Deadfall,2000,,,86.0,Horror,Vince Di Meglio,"Audrey Lowe, Kirstin Leigh, Patrick Lawlor, Brady Fischer"
Foiled,2000,,,78.0,"Action, Drama, Sci, Fi",Henry Burrows,"Ian Lindsay, Sue Element, Mike Varty, Rebecca Croxson"
Way Past Cool,2000,,R,96.0,Drama,Adam Davidson,"Wayne Collins, Luchisha Evans, Kareem R. Woods, Terrence Williams"
Twister: A Musical Catastrophe,2000,,,128.0,"Action, Comedy",Ken Kesey,"George Walker, Ken Kesey, Phil Deitz, Arzinia Richarson"
Nothing,2000,,,,,Pieter Moleveld,
Julia Wept,2000,,Unrated,30.0,"Short, Drama, Horror",Jason Paul Collum,"Tina Ona Paukstelis, Brinke Stevens, Jason Sechrest, Julie King"
New Year's Fairy Tale,2000,,,58.0,"Family, Drama, Comedy",Bojana Malkanovic Udicki,"Mirjana Sesa, Adela Turkone, Elena Tuksar, Nevena Vilic"
